"","Player","millions","team"
"1","Stephen Curry",37.457154,"Golden State Warriors"
"2","Russell Westbrook",35.65415,"Oklahoma City Thunder"
"3","Chris Paul",35.65415,"Houston Rockets"
"4","LeBron James",35.65415,"Los Angeles Lakers"
"5","Paul George",30.5607,"Oklahoma City Thunder"
"6","Mike Conley",30.521116,"Memphis Grizzlies"
"7","James Harden",30.431854,"Houston Rockets"
"8","Kevin Durant",30,"Golden State Warriors"
"9","Paul Millsap",29.730769,"Denver Nuggets"
"10","Damian Lillard",27.977689,"Portland Trail Blazers"
"11","DeMar DeRozan",27.739975,"San Antonio Spurs"
"12","Jrue Holiday",25.976111,"New Orleans Pelicans"
"13","CJ McCollum",25.759766,"Portland Trail Blazers"
"14","Andrew Wiggins",25.46725,"Minnesota Timberwolves"
"15","Anthony Davis",25.434263,"New Orleans Pelicans"
"16","Nikola Jokic",24.605181,"Denver Nuggets"
"17","Steven Adams",24.157304,"Oklahoma City Thunder"
"18","Marc Gasol",24.119025,"Memphis Grizzlies"
"19","Chandler Parsons",24.107258,"Memphis Grizzlies"
"20","Harrison Barnes",24.107258,"Dallas Mavericks"
"21","Rudy Gobert",23.241573,"Utah Jazz"
"22","DeAndre Jordan",22.9,"Dallas Mavericks"
"23","LaMarcus Aldridge",22.347015,"San Antonio Spurs"
"24","Danilo Gallinari",21.587579,"Los Angeles Clippers"
"25","Jimmy Butler",20.445779,"Minnesota Timberwolves"
"26","Ryan Anderson",20.421546,"Phoenix Suns"
"27","Jeff Teague",19,"Minnesota Timberwolves"
"28","Klay Thompson",18.988725,"Golden State Warriors"
"29","Wesley Matthews",18.622514,"Dallas Mavericks"
"30","Evan Turner",17.868852,"Portland Trail Blazers"
"31","Draymond Green",17.469565,"Golden State Warriors"
"32","Derrick Favors",16.9,"Utah Jazz"
"33","Pau Gasol",16.8,"San Antonio Spurs"
"34","Gary Harris",16.517857,"Denver Nuggets"
"35","Andre Iguodala",16,"Golden State Warriors"
"36","Dennis Schroder",15.5,"Oklahoma City Thunder"
"37","Clint Capela",15.293104,"Houston Rockets"
"38","Gorgui Dieng",15.170787,"Minnesota Timberwolves"
"39","Trevor Ariza",15,"Phoenix Suns"
"40","Ricky Rubio",14.975,"Utah Jazz"
"41","Tobias Harris",14.8,"Los Angeles Clippers"
"42","Brandon Knight",14.63125,"Houston Rockets"
"43","Luol Deng",14.354067,"Los Angeles Lakers"
"44","Taj Gibson",14,"Minnesota Timberwolves"
"45","Tyson Chandler",13.585,"Phoenix Suns"
"46","Marcin Gortat",13.565218,"Los Angeles Clippers"
"47","Eric Gordon",13.500375,"Houston Rockets"
"48","Joe Ingles",13.045455,"Utah Jazz"
"49","Mason Plumlee",12.917808,"Denver Nuggets"
"50","Nikola Mirotic",12.5,"New Orleans Pelicans"
"51","Solomon Hill",12.252928,"New Orleans Pelicans"
"52","Avery Bradley",12,"Los Angeles Clippers"
"53","Kentavious Caldwell-Pope",12,"Los Angeles Lakers"
"54","Will Barton",11.830358,"Denver Nuggets"
"55","T.J. Warren",11.75,"Phoenix Suns"
"56","Zach Randolph",11.692308,"Sacramento Kings"
"57","Patty Mills",11.571429,"San Antonio Spurs"
"58","Alec Burks",11.536515,"Utah Jazz"
"59","Jusuf Nurkic",11.111111,"Portland Trail Blazers"
"60","Iman Shumpert",11.011234,"Sacramento Kings"
"61","Maurice Harkless",10.837079,"Portland Trail Blazers"
"62","Meyers Leonard",10.595506,"Portland Trail Blazers"
"63","Rudy Gay",10.0872,"San Antonio Spurs"
"64","Andre Roberson",10,"Oklahoma City Thunder"
"65","Dwight Powell",9.63125,"Dallas Mavericks"
"66","Dante Exum",9.6,"Utah Jazz"
"67","Rajon Rondo",9,"Los Angeles Lakers"
"68","Bogdan Bogdanovic",9,"Sacramento Kings"
"69","E'Twaun Moore",8.808685,"New Orleans Pelicans"
"70","Kosta Koufos",8.7395,"Sacramento Kings"
"71","Jerami Grant",8.653847,"Oklahoma City Thunder"
"72","Kyle Anderson",8.641,"Memphis Grizzlies"
"73","Julius Randle",8.641,"New Orleans Pelicans"
"74","Shaun Livingston",8.307692,"Golden State Warriors"
"75","Deandre Ayton",8.16516,"Phoenix Suns"
"76","Garrett Temple",8,"Memphis Grizzlies"
"77","Lou Williams",8,"Los Angeles Clippers"
"78","P.J. Tucker",7.969537,"Houston Rockets"
"79","JaMychal Green",7.866667,"Memphis Grizzlies"
"80","Karl-Anthony Towns",7.839435,"Minnesota Timberwolves"
"81","Darrell Arthur",7.464912,"Phoenix Suns"
"82","Lonzo Ball",7.46196,"Los Angeles Lakers"
"83","Jae Crowder",7.305825,"Utah Jazz"
"84","Marvin Bagley",7.3056,"Sacramento Kings"
"85","Davis Bertans",7,"San Antonio Spurs"
"86","Boban Marjanovic",7,"Los Angeles Clippers"
"87","Al-Farouq Aminu",6.957105,"Portland Trail Blazers"
"88","Luka Doncic",6.56064,"Dallas Mavericks"
"89","Nemanja Bjelica",6.5,"Sacramento Kings"
"90","Milos Teodosic",6.3,"Los Angeles Clippers"
"91","Marco Belinelli",6.153846,"San Antonio Spurs"
"92","Wesley Johnson",6.13452,"Los Angeles Clippers"
"93","Josh Jackson",6.04152,"Phoenix Suns"
"94","Montrezl Harrell",6,"Los Angeles Clippers"
"95","Jaren Jackson",5.91504,"Memphis Grizzlies"
"96","Brandon Ingram",5.75712,"Los Angeles Lakers"
"97","Anthony Tolliver",5.75,"Minnesota Timberwolves"
"98","De'Aaron Fox",5.47092,"Sacramento Kings"
"99","Ben McLemore",5.46,"Sacramento Kings"
"100","Alex Abrines",5.455236,"Oklahoma City Thunder"
"101","Patrick Patterson",5.4516,"Oklahoma City Thunder"
"102","DeMarcus Cousins",5.337,"Golden State Warriors"
"103","Alexis Ajinca",5.285394,"New Orleans Pelicans"
"104","Thabo Sefolosha",5.25,"Utah Jazz"
"105","Patrick Beverley",5.027028,"Los Angeles Clippers"
"106","Dirk Nowitzki",5,"Dallas Mavericks"
"107","Willie Cauley-Stein",4.696875,"Sacramento Kings"
"108","Dragan Bender",4.66128,"Phoenix Suns"
"109","Lance Stephenson",4.449,"Los Angeles Lakers"
"110","Luc Mbah a Moute",4.3205,"Los Angeles Clippers"
"111","Mike Scott",4.3205,"Los Angeles Clippers"
"112","Buddy Hield",3.83376,"Sacramento Kings"
"113","Dennis Smith",3.81996,"Dallas Mavericks"
"114","J.J. Barea",3.71085,"Dallas Mavericks"
"115","Nene Hilario",3.65148,"Houston Rockets"
"116","Zach Collins",3.62892,"Portland Trail Blazers"
"117","Mikal Bridges",3.55296,"Phoenix Suns"
"118","Michael Beasley",3.5,"Los Angeles Lakers"
"119","Jamal Murray",3.4998,"Denver Nuggets"
"120","Shai Gilgeous-Alexander",3.37536,"Los Angeles Clippers"
"121","Trey Lyles",3.364249,"Denver Nuggets"
"122","Ekpe Udoh",3.36,"Utah Jazz"
"123","Devin Booker",3.314365,"Phoenix Suns"
"124","Troy Daniels",3.258539,"Phoenix Suns"
"125","Marquese Chriss",3.20616,"Houston Rockets"
"126","Bryn Forbes",3.125,"San Antonio Spurs"
"127","Donovan Mitchell",3.11148,"Utah Jazz"
"128","Jerome Robinson",3.0462,"Los Angeles Clippers"
"129","Elfrid Payton",3,"New Orleans Pelicans"
"130","Yogi Ferrell",3,"Sacramento Kings"
"131","Jakob Poeltl",2.94732,"San Antonio Spurs"
"132","Michael Porter",2.89416,"Denver Nuggets"
"133","Andrew Nicholson",2.844429,"Portland Trail Blazers"
"134","Justin Jackson",2.80788,"Sacramento Kings"
"135","Seth Curry",2.795,"Portland Trail Blazers"
"136","Justin Patton",2.6676,"Minnesota Timberwolves"
"137","Dante Cunningham",2.5,"San Antonio Spurs"
"138","Manu Ginobili",2.5,"San Antonio Spurs"
"139","Tyus Jones",2.444053,"Minnesota Timberwolves"
"140","Raymond Felton",2.393887,"Oklahoma City Thunder"
"141","Gerald Green",2.393887,"Houston Rockets"
"142","Carmelo Anthony",2.393887,"Houston Rockets"
"143","Luol Deng",2.393887,"Minnesota Timberwolves"
"144","Jarrett Jack",2.393887,"New Orleans Pelicans"
"145","Devin Harris",2.393887,"Dallas Mavericks"
"146","JaVale McGee",2.393887,"Los Angeles Lakers"
"147","Lonnie Walker",2.35716,"San Antonio Spurs"
"148","Harry Giles",2.20704,"Sacramento Kings"
"149","Darius Miller",2.205,"New Orleans Pelicans"
"150","Derrick Rose",2.17626,"Minnesota Timberwolves"
"151","Omri Casspi",2.17626,"Memphis Grizzlies"
"152","Juan Hernangomez",2.16636,"Denver Nuggets"
"153","Jonas Jerebko",2.165481,"Golden State Warriors"
"154","Josh Okogie",2.16072,"Minnesota Timberwolves"
"155","Raul Neto",2.15,"Utah Jazz"
"156","Matt Barnes",2.133542,"Sacramento Kings"
"157","Terrance Ferguson",2.11884,"Oklahoma City Thunder"
"158","Grayson Allen",2.07432,"Utah Jazz"
"159","Shelvin Mack",2.029463,"Memphis Grizzlies"
"160","Isaiah Thomas",2.029463,"Denver Nuggets"
"161","Georgios Papagiannis",2.0004,"Sacramento Kings"
"162","Torrey Craig",2,"Denver Nuggets"
"163","Anderson Varejao",1.913345,"Portland Trail Blazers"
"164","Quincy Pondexter",1.893447,"San Antonio Spurs"
"165","Tim Duncan",1.88125,"San Antonio Spurs"
"166","Tyler Lydon",1.87464,"Denver Nuggets"
"167","Anfernee Simons",1.83552,"Portland Trail Blazers"
"168","Malik Beasley",1.77384,"Denver Nuggets"
"169","Moritz Wagner",1.76208,"Los Angeles Lakers"
"170","Nerlens Noel",1.757429,"Oklahoma City Thunder"
"171","Michael Carter-Williams",1.757429,"Houston Rockets"
"172","Donald Sloan",1.757429,"Denver Nuggets"
"173","Ian Clark",1.757429,"New Orleans Pelicans"
"174","Caleb Swanigan",1.74,"Portland Trail Blazers"
"175","Kyle Kuzma",1.68984,"Los Angeles Lakers"
"176","Tony Bradley",1.67952,"Utah Jazz"
"177","Derrick White",1.66716,"San Antonio Spurs"
"178","MarShon Brooks",1.656092,"Memphis Grizzlies"
"179","Josh Hart",1.65516,"Los Angeles Lakers"
"180","Jacob Evans",1.64424,"Golden State Warriors"
"181","James Ennis",1.621415,"Houston Rockets"
"182","Bruno Caboclo",1.621415,"Houston Rockets"
"183","Nik Stauskas",1.621415,"Portland Trail Blazers"
"184","Darius Morris",1.621415,"New Orleans Pelicans"
"185","Richaun Holmes",1.60052,"Phoenix Suns"
"186","Kevon Looney",1.567007,"Golden State Warriors"
"187","K.J. McDaniels",1.567007,"Minnesota Timberwolves"
"188","Jahlil Okafor",1.567007,"New Orleans Pelicans"
"189","Rashad Vaughn",1.567007,"Dallas Mavericks"
"190","Salah Mejri",1.567007,"Dallas Mavericks"
"191","Damian Jones",1.544951,"Golden State Warriors"
"192","Quinn Cook",1.544951,"Golden State Warriors"
"193","Timothe Luwawu-Cabarrot",1.544951,"Oklahoma City Thunder"
"194","Jake Layman",1.544951,"Portland Trail Blazers"
"195","Wade Baldwin",1.544951,"Portland Trail Blazers"
"196","Andrew Harrison",1.544951,"Memphis Grizzlies"
"197","Wayne Selden",1.544951,"Memphis Grizzlies"
"198","Dejounte Murray",1.544951,"San Antonio Spurs"
"199","Cheick Diallo",1.544951,"New Orleans Pelicans"
"200","Dorian Finney-Smith",1.544951,"Dallas Mavericks"
"201","Chinanu Onuaku",1.544951,"Dallas Mavericks"
"202","Ivica Zubac",1.544951,"Los Angeles Lakers"
"203","Skal Labissiere",1.544951,"Sacramento Kings"
"204","Deyonta Davis",1.544951,"Sacramento Kings"
"205","Tyler Ulis",1.512601,"Golden State Warriors"
"206","Danuel House",1.512601,"Golden State Warriors"
"207","Gary Payton II",1.512601,"Portland Trail Blazers"
"208","Chinanu Onuaku",1.512601,"Portland Trail Blazers"
"209","Darius Johnson-Odom",1.512601,"Minnesota Timberwolves"
"210","Okaro White",1.512601,"San Antonio Spurs"
"211","Xavier Silas",1.512601,"Denver Nuggets"
"212","Georges Niang",1.512601,"Utah Jazz"
"213","Troy Williams",1.512601,"New Orleans Pelicans"
"214","Isaiah Canaan",1.512601,"Phoenix Suns"
"215","Sviatoslav Mykhailiuk",1.487694,"Los Angeles Lakers"
"216","Jordan Bell",1.378252,"Golden State Warriors"
"217","Abdel Nader",1.378242,"Oklahoma City Thunder"
"218","Zhou Qi",1.378242,"Houston Rockets"
"219","Ivan Rabb",1.378242,"Memphis Grizzlies"
"220","Dillon Brooks",1.378242,"Memphis Grizzlies"
"221","Rade Zagorac",1.378242,"Memphis Grizzlies"
"222","Sindarius Thornwell",1.378242,"Los Angeles Clippers"
"223","Jawun Evans",1.378242,"Los Angeles Clippers"
"224","Royce O'Neale",1.378242,"Utah Jazz"
"225","Frank Jackson",1.378242,"New Orleans Pelicans"
"226","Maxi Kleber",1.378242,"Dallas Mavericks"
"227","Davon Reed",1.378242,"Phoenix Suns"
"228","Shaquille Harrison",1.378242,"Phoenix Suns"
"229","Frank Mason",1.378242,"Sacramento Kings"
"230","Kevin Martin",1.360304,"Minnesota Timberwolves"
"231","Alfonzo McKinnie",1.349383,"Golden State Warriors"
"232","James Nunnally",1.349383,"Minnesota Timberwolves"
"233","Nick Johnson",1.349383,"San Antonio Spurs"
"234","Tyrone Wallace",1.349383,"Los Angeles Clippers"
"235","Monte Morris",1.349383,"Denver Nuggets"
"236","Kalin Lucas",1.349383,"Sacramento Kings"
"237","Elie Okobo",1.238464,"Phoenix Suns"
"238","Jalen Brunson",1.23,"Dallas Mavericks"
"239","Isaac Bonga",1,"Los Angeles Lakers"
"240","Kyle Singler",0.9992,"Oklahoma City Thunder"
"241","De'Anthony Melton",0.949,"Phoenix Suns"
"242","Jason Thompson",0.945126,"Golden State Warriors"
"243","Will Cherry",0.838464,"Golden State Warriors"
