Month,boba,bubbletea
2004-01,12,7
2004-02,11,8
2004-03,11,9
2004-04,13,10
2004-05,11,8
2004-06,14,7
2004-07,12,10
2004-08,14,12
2004-09,18,8
2004-10,17,6
2004-11,12,6
2004-12,11,7
2005-01,12,7
2005-02,14,8
2005-03,13,8
2005-04,15,8
2005-05,31,9
2005-06,24,9
2005-07,17,9
2005-08,14,10
2005-09,12,7
2005-10,14,7
2005-11,14,5
2005-12,13,5
2006-01,13,7
2006-02,14,8
2006-03,13,8
2006-04,13,7
2006-05,12,7
2006-06,13,8
2006-07,14,9
2006-08,11,9
2006-09,14,5
2006-10,14,7
2006-11,11,5
2006-12,13,4
2007-01,12,6
2007-02,12,6
2007-03,11,6
2007-04,11,8
2007-05,13,7
2007-06,14,8
2007-07,15,8
2007-08,12,7
2007-09,14,8
2007-10,16,6
2007-11,14,5
2007-12,14,5
2008-01,12,6
2008-02,11,6
2008-03,12,6
2008-04,14,8
2008-05,13,9
2008-06,14,8
2008-07,13,9
2008-08,14,9
2008-09,15,8
2008-10,18,6
2008-11,15,6
2008-12,15,6
2009-01,13,8
2009-02,13,8
2009-03,17,8
2009-04,14,8
2009-05,12,9
2009-06,14,10
2009-07,15,8
2009-08,17,9
2009-09,15,9
2009-10,17,7
2009-11,13,7
2009-12,14,6
2010-01,14,7
2010-02,13,7
2010-03,15,9
2010-04,18,10
2010-05,21,9
2010-06,16,9
2010-07,18,12
2010-08,21,11
2010-09,23,9
2010-10,21,7
2010-11,20,7
2010-12,21,7
2011-01,20,9
2011-02,20,9
2011-03,20,10
2011-04,22,12
2011-05,21,12
2011-06,24,13
2011-07,25,13
2011-08,25,12
2011-09,25,11
2011-10,27,9
2011-11,20,9
2011-12,25,8
2012-01,26,10
2012-02,27,11
2012-03,27,13
2012-04,28,12
2012-05,28,13
2012-06,29,14
2012-07,31,15
2012-08,30,15
2012-09,29,13
2012-10,26,10
2012-11,26,9
2012-12,25,9
2013-01,28,10
2013-02,33,11
2013-03,35,13
2013-04,36,14
2013-05,36,15
2013-06,39,16
2013-07,42,17
2013-08,39,16
2013-09,36,14
2013-10,35,12
2013-11,31,10
2013-12,30,10
2014-01,36,12
2014-02,31,12
2014-03,38,15
2014-04,37,18
2014-05,41,16
2014-06,39,18
2014-07,42,18
2014-08,39,17
2014-09,36,13
2014-10,36,12
2014-11,32,11
2014-12,33,10
2015-01,35,13
2015-02,36,13
2015-03,41,15
2015-04,44,16
2015-05,50,16
2015-06,44,18
2015-07,48,19
2015-08,52,20
2015-09,53,23
2015-10,57,14
2015-11,57,14
2015-12,100,13
2016-01,88,16
2016-02,61,17
2016-03,58,20
2016-04,61,22
2016-05,62,23
2016-06,58,24
2016-07,61,26
2016-08,53,22
2016-09,53,21
2016-10,54,20
2016-11,48,18
2016-12,59,18
2017-01,57,21
2017-02,56,23
2017-03,60,25
2017-04,68,28
2017-05,68,27
2017-06,69,31
2017-07,75,32
2017-08,64,28
2017-09,59,24
2017-10,62,22
2017-11,55,20
2017-12,65,21
2018-01,64,23
2018-02,60,24
2018-03,66,30
2018-04,71,31
2018-05,83,32
2018-06,81,33
2018-07,82,37
2018-08,78,31
2018-09,71,29
2018-10,70,25
2018-11,64,24
2018-12,67,28
2019-01,74,28
2019-02,76,29
2019-03,91,37
