artist_name	legal_name	birth_year	origin	net_worth	start_year	deceased	height
Nicki Minaj	Onika Maraj	1982	New York	75	2004	F	"5'2"""
Jay Z	Shawn Carter	1969	New York	900	1986	F	"6'2"""
Eminem	Marshall Mathers	1972	Missouri	190	1988	F	"5'8"""
Kendrick Lamar	Kendrick Duckworth	1987	California	45	2003	F	"5'6"""
Logic	Robert Hall	1990	Maryland	10	2009	F	"5'9"""
E-40	Earl Stevens	1967	California	10	1986	F	"6'1"""
Nas	Nasir Jones	1973	New York	50	1991	F	"5'8"""
Jadakiss	Jason Phillips	1975	New York	6	1991	F	"5'7"""
Chance the Rapper	Chancelor Bennett	1993	Illinois	33	2011	F	"5'10"""
Childish Gambino	Donald Glover	1983	California	12	2002	F	"5'9"""
Kanye West	Kanye West	1977	Georgia	160	1996	F	"5'8"""
Cardi B	Belcalis Almanzar	1992	New York	8	2015	F	"5'3"""
G-Eazy	Gerald Gillum	1989	California	9	2008	F	"6'4"""
2Pac	Tupac Shakur	1971	California	40	1987	T	"5'9"""
YG	Keenon Jackson	1969	California	3	2009	F	"5'11"""
ScHoolboy Q	Quincy Hanley	1986	California	4	2008	F	"5'7"""
Lupe Fiasco	Wasalu Jaco	1982	Illinois	14	2000	F	"5'10"""
Drake	Aubrey Graham	1986	Non-US	100	2001	F	"6'0"""
Joey BadA$$	Jo-Vaughn Scott	1995	New York	4	2010	F	"6'2"""
Snoop Dogg	Calvin Broadus	1971	California	135	1991	F	"6'4"""
Iamsu!	Sudan Williams	1989	California	1	2007	F	"6'3"""
J. Cole	Jermaine Cole	1985	New York	15	2007	F	"6'2"""
Gucci Mane	Radric Davis	1980	Georgia	12	2001	F	"6'2"""
Rich Brian	Brian Imanuel	1999	Non-US	0.3	2015	F	"5'8"""
Too $hort	Todd Shaw	1966	California	15	1984	F	"5'7"""
Mac Dre	Andre Hicks	1970	California	1.5	1984	T	"5'11"""
Missy Elliott	Melissa Elliott	1971	Virginia	50	1989	F	"5'2"""
Notorious B.I.G.	Christopher Wallace	1972	New York	160	1992	T	"6'2"""
Dr. Dre	Andre Romelle Young	1965	California	850	1984	F	"6'1"""
